위험요인,기인물,중대재해 개요,발생원인,예방대책
수변전실 정비 중 감전,변압기,24년 1월 전북 완주군 소재 공장 옥외 수변전실 내에서 변압기 설비 고장으로 누유된 절연유를 특고압 판넬 개방상태에서 정리하던 중 퓨즈 충전부에 접촉하여 감전,"1. 전로차단 미실시: 변압기 외부로 누유된 절연유 정리 중 전로 미차단으로 충전부에 접촉하여 감전
2. 보호구 미착용: 감전 위험이 있는 충전부 작업 중 절연용 보호구 미착용으로 감전 경로 형성","1. 충전부 작업 시 전로 차단: 충전부 노출 부위 또는 해당 부위 주변에서 작업 시 완료 전까지 전로 차단 확인 철저
2. 절연용 보호구 지급 및 관리감독 철저: 변압기 등 감전이 있는 충전부 작업 시 절연용 보호구(절연 장갑, 절연복 등) 지급하여 착용할 수 있도록 관리감독 철저"
화물자동차 적재함에서 떨어짐,화물자동차 ,"24년 5월 경북 김천시 소재, OO중공업(주) 제품 상차장에서 재해자가 화물자동차 적재함에 상차된 철골 자재를 적재함 위에 올라가 슬링 벨트로 고정하는 작업을 하던 중 불안전하게 세워져 상차되어 있던 철골 자재와 함께 지면으로 떨어져(H≒2.5m) 사망","1. 차량계 하역운반기계 작업계획서 작성 미흡: 불안전하게 세워 적재되어 있어 외력에 의해 전도되기 쉬운 철골 자재의 전도방지 대책과 적재함 위에서 떨어짐에 대한 방지 대책을 수립하고 작업계획서에 반영하지 않음
2. 전용 승강설비 미사용 등 떨어짐 방지조치 미흡: 승강과정, 적재함 위에서 이동 및 작업 중 떨어짐 예방을 위한 전용 승강
설비와 작업발판을 사용하지 않고 작업자는 개인보호구를 착용하지 않음","1. 차량계 하역운반기계 작업계획서 작성 철저: 불안전하게 적재되어 있어 외력에 의해 전도되기 쉬운 철골 자재의 전도방지 대책과 적재함 위에서 떨어짐에 대한 대책을 작업계획서에 반영
2. 전용 승강설비 사용 등 떨어짐 방지조치 철저: 승강과정, 적재함 위에서 이동 및 작업 중 떨어짐 예방을 위한 전용 승강설비와 작업발판을 사용
하고 안전모 등 적정 보호구를 착용"
청소 작업 중 특고압 감전,특고압,"18년 7월 수원시 소재 OOOO 에서 옥상 방수 도막 제거 후 청소 작업을 하던 중, COS(컷아웃스위치)의 노출된 충 전부(22.9kV)에 머리가 접촉, 감전 사고가 발생하여 1명이 사망","1. 전원차단 조치: 노출된 충전부 부근 작업이나 해당 전원 미차단
2. 접근금지 조치: 전원이 차단 되지 않은 상태에서 충전부 부근에 접근 통제를 위한 방책을 설치하거나 위험을 경고 할 수 있는 감시인 미배치
3. 절연조치: 작업자가 전원이 차단되지 않은 특고압 근처 작업하였으나 노출부를 방호, 차폐하거나 절연등의 조치 미실시","1. 전원 차단: 노출된 충전부 부근 작업이나 전로 관련 작업을 실시 할 때 작업에 들어가기 전 해당 전로를 차단하고 필요 시 잔류 전하를 방전
2. 접근 방지를 위한 조치: 절연이 되지 않은 충전부나 그 인근에 작업자가 접근하는 것을 제한하거나 막을 수 있도록 울타리 등을 설치하고 부득이한 경우 감시인을 배치
3. 절연, 접촉 금지 조치: 충전전로를 방호, 차폐 혹은 절연하여 작업자의 신체와 접촉하지 않아야 함"
중량물 적재 작업 중 지하 개구부로 추락,개구부,"24년 3월 충북 단양군 소재 OOO 현장 지하에 있는 발전기를 인양하여 적재하는 과정에서, 개구부에 인접하여 주 차한 화물자동차 적재함을 잡고 이동하 던 재해자가 덮개가 열리며 손을 놓쳐 지하로 추락(H≒9.5 m)하여 사망","1. 개구부안전조치 미시행: 지하에 있는 발전기를 반출하기 위해 발전기실 덮개를 해체하여 높이 약 10미터의 개구부가 발생하였으나,발전기를 반출한 후에도 덮개를 다시 덮지 않아 추락 위험이 있는 상황에서 적재 작업을 수행하는 과정에서 사고가 발생
2. 근로자 접근금지 미시행: 개구부 주변 근로자 접근금지 조치 등이 부재
3. 안전난간 미설치: 작업자가 떨어질 위험이 있음에도 불구하고 안전난간이 설치되어 있지 않음","1. 추락재해 예방설비 설치: 추락 예방을 위한 안전난간을 설치하고, 필요시 안전대를 걸어 사용할 수 있어야 함
2. 작업계획서 작성 및 작업지휘: 중량물 취급 및 차량계 하역운반기계 사용 등으로 인한 작업 수행 시 사전에 작업계획서를 작성하고, 현장에 작업지휘자를 두어야 함"
컨베이어와 주변 구조물 사이에 끼임,컨베이어 ,24년 4월 경기도 남양주시 소재 ㈜OOO에서 재해자가 컨베이어 상부 설비에 걸린 비닐을 제거하기 위해 가동 중인 컨베이어 통행을 시도하다가 넘어지면서 컨베이어와 구조물 사이에 끼어 사망,"1. 컨베이어운전정지 미실시: 컨베이어 관련 작업 시 컨베이어 운전정지를 하지 않고, 가동 중인 컨베이어 위로 통행하려다가 균형을 잃고 넘어짐
2. 컨베이어통행 제한 미흡: 컨베이어 통행을 제한하지 않고, 안전한 통로로 통행하도록 하거나 컨베이어 건널다리 설치 등 필요한 조치를 실시하지 않음","1. 컨베이어 관련 작업 시 운전정지 후 실시: 가동 중인 컨베이어로 인하여 사고 우려가 있는 작업 수행 시 컨베이어 운전을 정지하여야 함
2. 컨베이어 통행 제한 철저: 근로자를 컨베이어 위로 넘어가도록 하는 경우에는 근로자가 안전하게 통행할 수 있는 건널다리를 설치"
"전도되는 지게차에 깔림",지게차,"24년 1월 충남 부여군 소재 OOO㈜ 볏짚 적재구역에서, 지게차를 이용하여 절단된 볏짚을 운반하는 과정에서 지게차가 측면으로 전도되며, 운전 중이던 재해자가 깔림","1. 지게차 전도방지 조치 미비: 적재되어 있는 볏짚 주변에 지게차를 주행할 수 있는 충분한 공간을 확보하지 않음, 지게차는 적재된 볏짚 위로 주행하던 중 좌우안정도가 초과하며 측면으로 전도
2. 지게차 전도과정에서 재해자의 운전석 이탈: 좌석 안전띠를 미착용한 재해자는 운전석에서 이탈되며, 전도되는 지게차에 깔림","1. 지게차 통행로 확보: 볏짚 적재구역 주변에 지게차가 안전하게 통행할 수 있는 공간을 확보, 주변을 평탄화하여 주행중인 지게차가 요철을 밟고 전도되는 사고를 예방
2. 좌석안전띠 착용: 지게차를 운전하는 근로자가 좌석 안전띠를 착용하도록 조치하여, 지게차가 전도되는 경우에 운전자가 운전석에서 이탈하며 지게차에 깔리는 사고를 예방"
폐드럼 절단 작업 중 폭발,인화성 물질,"22년 1월 김해시 소재 ㅇㅇㅇ에 서 폐드럼의 상판을 산소 절단기(산소-LPG) 로 절단하던 중, 드럼통 내부에 잔류된 인화성 물질이 폭발하며, 그 충격으로 외상을 입고 요양하던 중 사망","1. 점화원: 이동식 산소 절단기(산소-LPG)의 불꽃
2. 가연성 물질: 인화점 –7.7℃의 인화성 액체인 가스플럭스가드럼 내부에 증기 형태로 잔류
3. 산소공급원: 드럼 내부에 담긴 액체 상태 가스플럭스를사용하는 과정에서 가스플럭스와 외부공기가 치환되며 대기 중의 공기가 드럼통 내부에 유입 가능","1. 드럼 내부 위험물 확인 및 완전 제거: 폐드럼의 내부에는 인화성 잔류물이 존재할 가능성이 높으므로, 산소 절단기를 사용하여 폐드럼을 해체할 경우에는 작업에 앞서 ‘가스 제거 및 세척(잔류물 제거) 작업’ 또는 ‘불활성화(산소농도 5% 미만)’를 실시
2. 가연성 물질 폐드럼 해체 작업시 화기 사용 지양: 화재·폭발 발생 위험이 있는 드럼 해체 작업 시, 화기 사용을 지양하고 드럼 커터를 사용하여 수동으로 상판을 절단하는 등의 방법으로 폭발을 예방"
갠트리 크레인 새들과 주변 구조물 사이에 끼임,갠트리 크레인 새들,23년 10월 인천광역시 서구 소재 ㈜OOO에서 갠트리 크레인 주행로 상에 있던 재해자가 크레인이 움직이자 갠트리크레인 새들(Saddle)과 주변 구조물 사이에 끼어 사망,"1. 주행로주변 안전공간 미확보: 새들(Saddle)돌출부와 주변 구조물 간 40cm 미만의 협소한 간격
2. 주행로시야 미확보: 주행로 주변 적치된 적재물 및 구조물로 인하여 주행로 시야 미확보
3. 안전작업절차 미준수: 양중기 이용한 중량물 취급작업 시 작업계획서 미준수 및 작업지휘자 미지정 ","1. 크레인 주행로 주변 안전공간 확보: 크레인 새들(Saddle) 의 최대 돌출부와 주변 구조물 간격을 최소 40cm 이상의 충분한 안전공간 확보
2. 크레인 조종 시 주행로 시야 확보: 크레인 조종 시 크레인 주행로 주변 상황 시야를 확보할 수 있도록 적재물 및 구조물 등 정리·제거
3. 안전 작업절차 준수:  크레인을 이용한 중량물 취급작업 시 작업계획서 준수 및 작업지휘자(신호수) 지정 후 작업지휘자의 지휘에 따라 작업"
벌크 백 운반 중 낙하,벌크 백,"24년 1월 경남 김해시 소재 ㈜000 공장 내에서 원재료가 든 벌크 백 4개를 천장크레인에 매달아 운반하던 중 섬유로프가 파단되면서, 벌크 백 1개가 낙하하여 벌크 백 하부에서 크레인 리모콘을 조작하던 재해자가 낙하물에 맞고 사망","1. 가닥의 꼬임 훼손: 벌크 백 운반 로프 매듭 과정에서 섬유로프 가닥을 풀어 가닥과 가닥 사이에 로프를 끼워 넣는 방식으로 로프 끝단을 마감함. 이에, 섬유 로프의 강도가 크게 저하
2. 벌크백 취급 시 주의사항 미준수: 한번에 4개의 벌크백을 운반하여 인양물의 인양각도가 크게 발생하여, 하중이 편중되는 원인으로 작용
3. 낙하물발생 위험 구간 출입: 낙하물 발생 위험이 있는 크레인 인양 작업 반경 내에 위치하여 낙하물에 맞음.","1. 크레인 화물 인양 작업 중, 위험구역 내 근로자 출입 통제: 크레인으로 화물을 인양하는 경우, 화물 하부 작업자 출입을 통제하여 화물이 작업자의 머리 위로 통과하지 않도록 하여야 함
2. 섬유로프 매듭 시 가닥의 꼬임을 훼손하지 않는 안전한 매듭법을 사용: 섬유로프를 매듭 지을 때에는 가닥의 꼬임이 풀리지 않는 안전한 매듭법을 사용"
지붕 유지보수 작업 중 추락,선라이트 지붕,"24년 2월 충북 충주시 소재 OO㈜공장의 자재창고 지붕 위에서 재해자가 노후 된 선라이트를 교체하기 전, 지붕에 쌓인 토사, 낙엽 등을 청소하던 중 선라이트가 파손되면서 약 4.3m 아래로 추락하여 사망","1. 추락방지조치 미실시: 강도가 약한 선라이트는 충격, 하중 등으로 쉽게 파손될 수 있으나, 견고한 구조의덮개를설치하는 등 추락 방지조치를 미실시
2. 개인 보호구 미착용: 추락위험이있는 장소에서 작업 중 안전모 등 보호구를 미착용","1. 추락방지조치 설치: 채광창(선라이트)에는 견고한 구조의 덮개를 설치하거나 폭 30cm 이상의 발판을 설치하는 등 파손으로 인한 추락을 방지
2. 지붕의 가장자리로 추락할 위험도 있으므로 추락을 방지하기 위해 안전난간을 설치하여야 하고 , 설치가 곤란한 경우 추락방호망 또는 근로자의 안전대 착용 및 안전대 부착설비를 설치하는 등의 조치
3. 개인 보호구 착용: 추락 위험이 있는 장소에서 작업은 안전모, 안전대 등 보호구 착용"
파쇄기 정비 준비 중 끼임,파쇄기,24년 2월 전북 정읍시 소재 OO에서 파쇄기를 정비하기 위해 준비하던 중 내부에 있던 작업자 1명이 작동하는 파쇄기에 신체가 끼여 사망,"1. 전원차단 및 잠금장치 등 미실시: 파쇄기 내부에서 작업 중 전원이 차단되지 않은 파쇄기가 재가동
2. 방호조치 미설치: 파쇄기 투입구에 덮개가 설치되지 않아 내부에서 작업 중이던 작업자의 신체 일부가 끼임","1. 비정형 작업 시 전원 차단 및 잠금장치 설치: 설비 비정형 작업(수리, 청소, 점검 등) 진행 시 운전 정지 및 전원 차단, 전원부·조작부잠금장치, 작동금지 표지판 설치 후 열쇠 보관
2. 끼임방호조치 실시: 파쇄기 투입구 등 설비의 작동으로 인해 끼임의 위험이 있는 작업 장소에는 덮개 등을 설치, 덮개는 설비의 전원과 연동 설치하여 덮개가 개방될 경우 운전이 정지되는 구조로 개선"
적재함을 타고 올라가던 중 추락,적재함,"23년 11월 울산시 소재 OO사업장에서 재해자가 3단으로 쌓여있는 적재함(h=3.7m)을 타고 올라가던 중, 적재함이 전도되면서 바닥으로 추락하여 사망","1. 불안정한 적재: 3단으로 불안정하게 쌓아진 적재함을 타고 오르던 중, 적재함이 전도
2. 승강로, 작업대 부재: 적재함 내 제품 불량검사를 수행하기 위한 승강로 또는 작업대가 부재하여 재해자가 적재함을 타고 오르던 중, 적재함이 전도되며 추락","1. 반제품 불량 검사 작업 절차 개선: 여러 단으로 쌓여있는 적재함에 적재되어 있는 물품을 검사해야 하는 경우, 근로자가 안전하게 상부 적재함 내부를 확인할 수 있도록 안전한 승강설비(통로)와 작업대가 마련된 검사시설 설치
2. 보호구 지급 및 착용: 근로자가 추락 위험 장소에서 작업하는 경우, 안전모 등의 보호구를 지급, 착용하도록 관리감독 철저"
파렛트 위치 수정 작업 중 끼임,지게차,17년 4월 경기도 안성시 소재 사업장에서 재해자가 지게차에서 내려 파렛트 공급장치에 올려진 파렛트의 위치를 수정하던 중 지게차가 움직이면서 백레스트와 파렛트공급장치 사이에 가슴이 끼여 사망,"1. 주차브레이크 고장: 주차 브레이크를 수리하지 않은 상태에서 지게차를 운행
2. 안전조치 미실시: 지게차의 시동을 정지하지 않은 상태에서 운전석에서 이탈
3. 무자격자 운행: 운전자격이 없는 무자격자가 지게차를 운행","1. 지게차의 이상유무 확인: 주기적 점검을 통해 지게차의 이상 등이 발견되면 수리하고 운행
2. 운전석 이탈 시 안전조치 실시: 포크를 가장 낮은 위치 또는 지면에 내려놓고 지게차의 시동을 정지
3. 지게차 운전 자격 확인: 시동키는 운전 자격을 가진 자만이 소지할 수 있도록 조치"
작업장 보행 중 지게차와 충돌,지게차,23년 11월 광주광역시 소재 OO 광주공장에서 프레스동 입·출구 자동문 앞으로 보행하던 재해자가 빈 파렛트를 포크에 끼워 이동하던 3톤 지게차와 부딪힘,"1. 지게차의 접촉방지 및 안전조치 미실시: 상하차 작업순서 및 방법을 미수립 및 주변 근로자 출입 통제를 미실시
2. 작업계획서 미작성: 지게차를 이용한 파렛트 운반작업에 대한 작업계획서 미작성","1. 지게차 접촉방지조치 실시: 지게차를 사용하여 상하차 작업 시 근로자가 지게차와 접촉하지 않도록 안전한 작업방법 준수, 유도자 배치 등 안전조치 실시
2. 작업계획서 작성 및 작업지휘자 배치: 작업계획서에 따라 작업을 지휘하고 근로자의 접근을 방지하는 작업지휘자 배치"
설비 레이아웃 변경 작업 중 감전,노후 설비 교체,"23년 7월 경상남도 양산시 소재 ㈜0000 공장 노후 설비 교체 및 설비 레이아웃 변경 작업을 진행하던 중, 근로자자의 신체 일부가 누전된 설비에 접촉하여 감전","1. 접지 미실시: 접지선이 단락되어 사고 당시 누설전류를 대지로 귀로시키지 못한 상태로 누전에 의한 감전의 위험 방치
2. 절연용 보호구 미착용: 감전의 위험이 있는 전기·기계기구의 설치·해체 등의 작업 시 절연장갑 등의 절연용 보호구를 미착용","1. 누전에 의한 감전의 위험을 방지하기 위한 접지 실시 및 관리: 누전으로 인해 발생된 누설전류를 대지로 귀로시킴으로서 감전의 위험을 방지하기 위해 접지 실시 및 접지저항 관리 철저
2. 절연용 보호구 착용 및 관리: 감전의 위험이 있는 전기·기계기구의 설치·해체 등의 작업 시 충전전로에 접촉하거나, 누전 등으로 인한 감전의 위험을 방지하기 위해 절연장갑 등의 절연용 보호구를 근로자에게 지급하고 착용하도록 관리"
